naptan_id,station_name,modes,zone,lat,lon
4900ZZLUWKA1,Warwick Avenue Station,tube,2,51.52336,-0.18366
4900ZZLUWKN1,West Kensington Station,tube,2,51.4907,-0.20686
4900ZZLUWLA1,Wood Lane,tube,2,51.50967,-0.2245
4900ZZLUWOF1,Woodford Station,tube,4,51.60744,0.03359
4900ZZLUWOG1,Wood Green Station,tube,3,51.5973,-0.10997
4900ZZLUWOP1,Woodside Park Station,tube,4,51.61795,-0.18516
4900ZZLUWRR1,Warren Street Station,tube,1,51.52457,-0.13799
4900ZZLUWSD1,Wanstead Station,tube,4,51.57559,0.02832
4900ZZLUWSM1,Westminster Station,tube,1,51.50125,-0.12377
4900ZZLUWSP1,Westbourne Park Station,tube,2,51.5209,-0.20067
4900ZZLUWTA1,West Acton Station,tube,3,51.51789,-0.28108
4900ZZLUWYP1,Wembley Park Station,tube,4,51.56326,-0.2792
9400ZZBPSUST,Battersea Power Station,tube,1,51.479932,-0.142142
9400ZZLUACT,Acton Town,tube,3,51.503057,-0.280462
9400ZZLUACY,Archway,tube,2,51.565478,-0.134819
9400ZZLUADE,Aldgate East,tube,1,51.515037,-0.072384
9400ZZLUAGL,Angel,tube,1,51.532624,-0.105898
9400ZZLUALD,Aldgate,tube,1,51.514246,-0.075689
9400ZZLUALP,Alperton,tube,4,51.540627,-0.29961
9400ZZLUASG,Arnos Grove,tube,4,51.616446,-0.133062
9400ZZLUBBB,Bromley-by-Bow,tube,2,51.524839,-0.011538
9400ZZLUBBN,Barbican,tube,1,51.520275,-0.097993
9400ZZLUBDS,Bounds Green,tube,3,51.607034,-0.124235
9400ZZLUBEC,Becontree,tube,5,51.540331,0.127016
9400ZZLUBKE,Barkingside,tube,4,51.585689,0.088585
9400ZZLUBKF,Blackfriars,tube,1,51.511581,-0.103659
9400ZZLUBKG,Barking,tube,4,51.539321,0.081053
9400ZZLUBKH,Buckhurst Hill,"bus, tube",5,51.626605,0.046757
9400ZZLUBLG,Bethnal Green,tube,2,51.527222,-0.055506
9400ZZLUBLM,Balham,tube,3,51.443288,-0.152997
9400ZZLUBLR,Blackhorse Road,tube,3,51.586919,-0.04115
9400ZZLUBLR2,Blackhorse Road Station,"overground, tube",3,51.586828,-0.041645
9400ZZLUBMY,Bermondsey,tube,2,51.497953,-0.063769
